[2020-03-11 17:25:21,866] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:25:22,086] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:34:14,491] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:34:14,492] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:34:14,492] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:34:14,492] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:34:34,667] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:34:34,835] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:38:33,346] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:38:33,346] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:38:33,347] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:38:33,347] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:39:48,981] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:39:49,156] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:40:00,695] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:40:00,696] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:40:00,696] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:40:00,696] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:44:57,930] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:44:58,072] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:44:59,107] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:44:59,108] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:44:59,109] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:44:59,109] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:46:00,939] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:46:01,087] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:48:10,726] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:48:10,727] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:48:10,728] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:48:10,728] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:50:20,648] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:50:20,791] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:50:46,973] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:50:46,974] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:50:46,975] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:50:46,975] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:55:25,221] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:55:25,544] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-11 17:55:26,331] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-11 17:55:26,331] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-11 17:55:26,331] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-11 17:55:26,331] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-11 17:55:49,032] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-11 17:55:49,119] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
